Country Name,Country Code,Year,Value,Value_EUR,Value_EUR_billions
Denmark,DNK,1964,9677400984.901217,8999982915.958132,8.999982915958132
Denmark,DNK,1965,10870670469.612425,10109723536.739555,10.109723536739555
Denmark,DNK,1966,11931739858.704626,11096518068.595303,11.096518068595303
Denmark,DNK,1967,13059064374.628675,12144929868.404669,12.144929868404668
Denmark,DNK,1968,13505573866.666666,12560183696.0,12.560183696
Denmark,DNK,1969,15414902266.666666,14335859108.0,14.335859108
Denmark,DNK,1970,17075457600.0,15880175568.0,15.880175568
Denmark,DNK,1971,19085731252.44065,17749730064.769806,17.749730064769807
Denmark,DNK,1972,23232379951.937607,21606113355.301975,21.606113355301975
Denmark,DNK,1973,30730626663.360607,28579482796.925365,28.579482796925365
Denmark,DNK,1974,34160444798.109894,31769213662.242203,31.7692136622422
Denmark,DNK,1975,40474406216.28207,37641197781.14233,37.641197781142324
Denmark,DNK,1976,44575892473.118286,41455580000.00001,41.455580000000005
Denmark,DNK,1977,49784338519.45629,46299434823.09435,46.29943482309435
Denmark,DNK,1978,60362931853.62492,56137526623.871185,56.13752662387119
Denmark,DNK,1979,70366241969.20737,65440605031.362854,65.44060503136285
Denmark,DNK,1980,71127528699.94144,66148601690.94554,66.14860169094554
Denmark,DNK,1981,61877813965.24132,57546366987.67443,57.54636698767443
Denmark,DNK,1982,60412844678.604,56183945551.10172,56.18394555110172
Denmark,DNK,1983,60644782176.05249,56399647423.72882,56.39964742372882
Denmark,DNK,1984,59105236853.79372,54967870274.02816,54.96787027402816
Denmark,DNK,1985,62658568287.34287,58272468507.228874,58.27246850722887
Denmark,DNK,1986,88078760103.81906,81913246896.55173,81.91324689655173
Denmark,DNK,1987,109414423928.77504,101755414253.76079,101.75541425376079
Denmark,DNK,1988,115552846616.65306,107464147353.48735,107.46414735348735
Denmark,DNK,1989,112409222182.7036,104540576629.91435,104.54057662991436
Denmark,DNK,1990,138247285815.85495,128569975808.74512,128.5699758087451
Denmark,DNK,1991,139224688814.19528,129478960597.20161,129.47896059720162
Denmark,DNK,1992,152915654478.88538,142211558665.3634,142.2115586653634
Denmark,DNK,1993,143195627014.6054,133171933123.58304,133.17193312358305
Denmark,DNK,1994,156162386724.52286,145231019653.80627,145.23101965380627
Denmark,DNK,1995,185006881515.06497,172056399809.01044,172.05639980901043
Denmark,DNK,1996,187632346387.9835,174498082140.82465,174.49808214082464
Denmark,DNK,1997,173537647058.82355,161390011764.7059,161.3900117647059
Denmark,DNK,1998,176991934992.83667,164602499543.3381,164.6024995433381
Denmark,DNK,1999,177965188354.69165,165507625169.86325,165.50762516986325
Denmark,DNK,2000,164158739097.62344,152667627360.78983,152.66762736078982
Denmark,DNK,2001,164791442543.37482,153256041565.3386,153.2560415653386
Denmark,DNK,2002,178635163717.43066,166130702257.21054,166.13070225721054
Denmark,DNK,2003,218096033517.00897,202829311170.81836,202.82931117081836
Denmark,DNK,2004,251373002954.38232,233776892747.57556,233.77689274757557
Denmark,DNK,2005,264467336457.16956,245954622905.1677,245.9546229051677
Denmark,DNK,2006,282884947702.9663,263083001363.75867,263.0830013637587
Denmark,DNK,2007,319423424509.06555,297063784793.43097,297.06378479343095
Denmark,DNK,2008,353361038818.38336,328625766101.09656,328.62576610109653
Denmark,DNK,2009,321241303699.00574,298754412440.0754,298.7544124400754
Denmark,DNK,2010,321995279401.5016,299455609843.3965,299.4556098433965
Denmark,DNK,2011,344003137611.2712,319922917978.48224,319.92291797848225
Denmark,DNK,2012,327148943812.1366,304248517745.28705,304.2485177452871
Denmark,DNK,2013,343584391647.92706,319533484232.5722,319.5334842325722
Denmark,DNK,2014,352993631617.708,328284077404.46844,328.28407740446846
Denmark,DNK,2015,302673070846.85724,281485955887.5773,281.4859558875773
Denmark,DNK,2016,313115929314.33856,291197814262.3349,291.1978142623349
Denmark,DNK,2017,332121063806.39056,308872589339.94324,308.87258933994326
Denmark,DNK,2018,356841216410.0677,331862331261.363,331.86233126136295
Denmark,DNK,2019,346498737961.6352,322243826304.32074,322.24382630432075
Denmark,DNK,2020,354762748338.6615,329929355954.9552,329.9293559549552
Denmark,DNK,2021,405687998852.6912,377289838933.00287,377.28983893300284
Denmark,DNK,2022,400167196948.7074,372155493162.2979,372.1554931622979
Denmark,DNK,2023,404198757537.9742,375904844510.316,375.90484451031597
Finland,FIN,1960,5279011362.127209,4909480566.778304,4.909480566778304
Finland,FIN,1961,5983900493.16006,5565027458.638856,5.5650274586388555
Finland,FIN,1962,6407225035.044293,5958719282.591193,5.958719282591193
Finland,FIN,1963,6958296429.351692,6471215679.297074,6.4712156792970745
Finland,FIN,1964,7848288358.27266,7298908173.193574,7.298908173193574
Finland,FIN,1965,8679620316.855669,8072046894.675773,8.072046894675772
Finland,FIN,1966,9305312888.267729,8653940986.088987,8.653940986088987
Finland,FIN,1967,9467428626.115274,8804708622.287205,8.804708622287205
Finland,FIN,1968,8915770472.976006,8291666539.867685,8.291666539867686
Finland,FIN,1969,10176617905.440475,9464254652.059643,9.464254652059642
Finland,FIN,1970,11357516987.542467,10562490798.414495,10.562490798414496
Finland,FIN,1971,12527405512.92981,11650487127.024723,11.650487127024723
Finland,FIN,1972,14743186119.873816,13711163091.482649,13.711163091482648
Finland,FIN,1973,19472363466.62517,18109298023.96141,18.10929802396141
Finland,FIN,1974,24848821490.467937,23109403986.13518,23.10940398613518
Finland,FIN,1975,29472623242.282204,27409539615.322453,27.40953961532245
Finland,FIN,1976,31849513771.34944,29620047807.35498,29.62004780735498
Finland,FIN,1977,33499799321.233585,31154813368.747234,31.154813368747234
Finland,FIN,1978,36256160288.80866,33718229068.592056,33.71822906859206
Finland,FIN,1979,44465255686.15479,41352687788.12396,41.352687788123966
Finland,FIN,1980,53645202422.696846,49890038253.10807,49.890038253108074
Finland,FIN,1981,52448332874.06999,48776949572.88509,48.776949572885094
Finland,FIN,1982,52797582336.25263,49101751572.71495,49.10175157271495
Finland,FIN,1983,50973526900.0854,47405380017.07943,47.40538001707943
Finland,FIN,1984,52888800949.74278,49186584883.26079,49.186584883260785
Finland,FIN,1985,55875863392.17191,51964552954.71988,51.96455295471988
Finland,FIN,1986,73531550551.25499,68384342012.667145,68.38434201266715
